0,SMILES,Kh_mean,Kh_first,Varying_1,Varying_2,Varying_3,Varying_4,Varying_5,Varying_6,Varying_7,Varying_8,Varying_9,wt,logp,fraction_sp3,ali_homo_rings,ali_hetero_rings,amide_bonds,aro_homo_rings,aro_hetero_rings,hba,hbd,tpsa,asph,ecce,isf,npr1,npr2,pmi1,pmi2,pmi3,rog,si
cyhalofop-butyl,CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(cc2F)C#N)cc1,-6.907755278982137,-6.907755278982137,0,0,0,0,0,0,0,0,0,357.1376363400006,4.600280000000004,0.3,0,0,0,2,0,5,0,68.55000000000001,0.6491280665165855,0.9908012486913199,0.0008077517918066315,0.13532511072125988,0.9333177795995767,1155.4512030386243,7968.980372585417,8538.335545267728,4.971055864715486,0.15317381603194988
fluacrypyrim,CO\C=C(C(=O)OC)/c1ccccc1COc2cc(nc(OC(C)C)n2)C(F)(F)F,-5.703782474656201,-5.703782474656201,0,0,0,0,0,0,0,0,0,426.1402564320006,4.021900000000003,0.35,0,0,0,1,1,7,0,79.77000000000001,0.24946612576054583,0.9239452989064029,0.0003460438614254061,0.3825246196374266,0.8190665781663496,2366.9443948304493,5068.1314264722805,6187.691649949072,3.996811436139132,0.33167741395428535
trifloxystrobin,CO\N=C(C(=O)OC)\c1ccccc1CO\N=C(/C)c2cccc(c2)C(F)(F)F,-6.063785208687608,-6.063785208687608,0,0,0,0,0,0,0,0,0,408.12969174800054,4.169700000000003,0.25,0,0,0,2,0,6,0,69.48,0.4820691954783226,0.9755832610310007,0.000505417448250382,0.21962991780747518,0.9069270855824457,1794.4119039063276,7409.740779353988,8170.161523619412,4.612206381297842,0.28174746675603857
chloromethane,CCl,7.064931282462656,7.064931282462656,1,1,1,1,0,0,0,0,0,49.992327775999996,0.855,1.0,0,0,0,0,0,0,0,0.0,0.768773837168932,0.996325068367516,0.31038005460759327,0.08565254311732162,0.9999999959760155,3.221856498608758,37.61542119340176,37.61542134476563,0.881444278876517,0.7259853151058357
dichloromethane,ClCCl,5.586610675561022,5.586610675561022,0,0,0,0,0,0,0,0,0,83.953355424,1.4215,1.0,0,0,0,0,0,0,0,0.0,0.7345825269329213,0.9951871136595496,0.056904812921806505,0.0979929018142379,0.9214860022137041,16.19346334518185,152.27684376806235,165.25139112503572,1.401648099180279,0.5618929550161527
dichloromethane-d2,ClC(Cl)([2H])[2H],5.572754212249797,5.572754212249797,0,0,0,0,0,0,0,0,0,85.96590891599999,1.4215,1.0,0,0,0,0,0,0,0,0.0,0.661280185287541,0.9915881461131414,0.041443012570691815,0.1294331815567522,0.9085405338954614,21.922646968429472,153.88336392214396,169.37424163383568,1.408916187597748,0.561892933073852
trichloromethane,ClC(Cl)Cl,5.9812598373112165,5.9812598373112165,1,0,0,0,0,0,0,0,0,117.91438307199999,1.9864,1.0,0,0,0,0,0,0,0,0.0,0.22201421518157494,0.8544175838747966,0.0033244929296033974,0.5195869439906615,0.519587161618442,156.29065021967946,156.29071568165404,300.79787805924633,1.6028297353590844,0.5860089780837356
tetrachloromethane,ClC(Cl)(Cl)Cl,7.965304486538434,7.965304486538434,1,1,0,0,0,0,0,0,0,151.87541072,2.5529,1.0,0,0,0,0,0,0,0,0.0,1.9162400048219893e-15,0.0003888598310496132,0.003331922988316341,0.9999999243940131,0.9999999572633708,300.12697195281885,300.1269818178004,300.1269946442165,1.7107537951060083,0.9999999211049196
chloroethane,CCCl,6.9886632190469316,6.9886632190469316,1,1,0,0,0,0,0,0,0,64.00797784,1.2451,1.0,0,0,0,0,0,0,0,0.0,0.5947085298469836,0.9870611041117192,0.0558914111257771,0.16034455634586992,0.902779587909226,16.152384950124553,90.94193006197571,100.73547439479755,1.2691371302234935,0.5387131554339069
"1,1-dichloroethane",CC(Cl)Cl,6.360410291549527,6.360410291549527,0,0,0,0,0,0,0,0,0,97.969005488,1.81,1.0,0,0,0,0,0,0,0,0.0,0.29682266797054113,0.9357802664772376,0.008979439883004241,0.3525837388079465,0.7091961038045966,78.97999352352942,158.86241343622888,224.00350563685544,1.527579111396675,0.562015635392631
